sachbegriff,count
Radwandern,215
Topografie,173
Wandern,172
Freizeit,35
Patient,31
Bergwandern,31
Schiffsnavigation,25
Deutsch,23
Kind,22
Literatur,21
Straße,20
Tourenskilauf,20
Mountainbiking,18
Kriminalfall,17
Rezeption,15
Zelle,14
Wanderweg,14
Lebensführung,14
Abenteuer,13
Unternehmen,13
Therapie,13
Architektur,13
Reiten,11
Panorama,10
Schule,10
Qualitätsmanagement,9
Radwanderweg,9
Tumor,9
Medizinprodukt,9
Recht,9
Freundschaft,9
Digitalisierung,7
Film,7
Spiritualität,7
Frau,7
Weltkrieg,7
Nachhaltigkeit,7
Philosophie,7
Tiere,7
Komplikation,7
Musik,6
Individuation,6
Theologie,6
Berechnung,6
Zeitschrift,6
Psychische Störung,6
Steuerrecht,6
Geschlechterrolle,6
Diskurs,6
Kollektives Gedächtnis,5
Prognose,5
Technische Sicherheit,5
Bild,5
Whisky,5
Roman,5
Brennerei,5
Evangelische Theologie,5
Fotografie,5
Bewältigung,5
Jugend,5
Sozialarbeit,5
Magie,5
Englisch,5
Achtsamkeit,5
Freund,5
Psychotherapie,5
Schulweg,5
Offshore-Windpark,5
Junge,5
Kunst,5
Mutter,5
Messtechnik,5
Spiel,5
Weltkarte,5
Reise,5
Innenstadt,5
Glück,5
Geschichtsschreibung,5
Familie,5
Liebe,5
Diskursanalyse,5
Geschichtswissenschaft,5
Management,5
Infektion,5
Meditation,5
Alltag,5
Politische Geografie,5
Ethik,5
Hafen,5
Evaluation,5
Anthroposophie,5
Informationstechnik,4
Strahlentherapie,4
Ablösung,4
Geschlechterverhältnis,4
Coaching,4
Kinderheilkunde,4
Lebensqualität,4
Föderalismus,4
Horoskop,4
